Gene,Coefficient_x,Odds Ratio,Coefficient_y,Absolute_Coefficient
TMEM119,0.009830281,1.009878757,0.001742343,0.001742343
SCUBE2,0.009812827,1.009861131,0.00197587,0.00197587
NTM,0.009773575,1.009821492,0.001772692,0.001772692
SCARF2,0.009773293,1.009821207,0.001562493,0.001562493
LUM,0.00970647,1.00975373,0.001676205,0.001676205
KCNG1,0.009697853,1.00974503,0.001219844,0.001219844
CCR4,0.009695725,1.009742881,0.001548942,0.001548942
CLEC5A,0.00969111,1.00973822,0.001270775,0.001270775
ITIH6,0.009687852,1.009734931,0.00148319,0.00148319
CILP2,0.009678372,1.009725359,0.00142045,0.00142045
SERPINA11,0.009676276,1.009723242,0.001524544,0.001524544
PODNL1,0.009672296,1.009719224,0.001559723,0.001559723
SYNDIG1,0.00966292,1.009709757,0.001445405,0.001445405
EDIL3,0.009539854,1.009585503,0.001558828,0.001558828
ID3,0.009504112,1.00954942,0.001557185,0.001557185
HOXB13,0.009474192,1.009519215,0.001480364,0.001480364
EN1,0.009466361,1.009511309,0.001435632,0.001435632
S100A8,0.009445085,1.009489831,0.001233601,0.001233601
C17orf97,0.009419879,1.009464386,0.001644429,0.001644429
HMGCS2,0.009377215,1.009421319,0.002314573,0.002314573
FBN2,0.009372978,1.009417042,0.001220317,0.001220317
CLEC11A,0.009366022,1.00941002,0.001505511,0.001505511
MFAP2,0.00935659,1.0094005,0.001205202,0.001205202
FAP,0.009316251,1.009359783,0.001300101,0.001300101
C5orf46,0.009283482,1.009326707,0.001528569,0.001528569
ENPP5,0.00923257,1.009275322,0.001488648,0.001488648
GMNN,0.009202226,1.009244697,0.001426182,0.001426182
MOXD1,0.009196776,1.009239196,0.001386571,0.001386571
ADCY2,0.009155844,1.009197887,0.001443797,0.001443797
PCDH17,0.009154863,1.009196897,0.00138853,0.00138853
NXNL2,0.009143781,1.009185714,0.001316051,0.001316051
APLP1,0.00914117,1.009183078,0.001417591,0.001417591
NUAK2,0.009111704,1.009153342,0.001348807,0.001348807
WNT5A,0.009105162,1.00914674,0.001402559,0.001402559
ARHGAP33,0.009101332,1.009142875,0.001298046,0.001298046
FOXS1,0.009101121,1.009142662,0.001500725,0.001500725
TRIB3,0.00909826,1.009139775,0.001215015,0.001215015
GPR68,0.009060527,1.009101698,0.001292622,0.001292622
FCGR2A,0.009029919,1.009070812,0.000860054,0.000860054
ID1,0.009010915,1.009051636,0.001585742,0.001585742
HOXC12,0.008965708,1.00900602,0.001586001,0.001586001
WNT2,0.008950424,1.008990599,0.001721153,0.001721153
EDN2,0.008942405,1.008982508,0.001628651,0.001628651
MST1R,0.008937372,1.008977429,0.001327779,0.001327779
KIF26B,0.008843826,1.008883048,0.001161351,0.001161351
ADAMTSL2,0.008810638,1.008849566,0.001562217,0.001562217
RIPPLY3,0.008801781,1.00884063,0.001476436,0.001476436
RIMS2,0.008800012,1.008838845,0.001350569,0.001350569
SCNN1B,0.008754616,1.00879305,0.00176803,0.00176803
COL5A1,0.008708905,1.008746938,0.001396862,0.001396862
CLEC10A,0.008663738,1.008701377,0.001343726,0.001343726
GLRB,0.008661166,1.008698782,0.001619672,0.001619672
NKG7,0.008660257,1.008697865,0.001272661,0.001272661
EGLN3,0.00866002,1.008697627,0.001380421,0.001380421
GRPR,0.008625239,1.008662543,0.001648674,0.001648674
GALNT3,0.008625113,1.008662416,0.001332647,0.001332647
COL5A2,0.008623872,1.008661165,0.001400561,0.001400561
SHISA6,0.008618411,1.008655656,0.001521464,0.001521464
NRP2,0.008614283,1.008651493,0.001302338,0.001302338
FCN1,0.008584885,1.008621841,0.001084426,0.001084426
CD207,0.008563892,1.008600667,0.001466704,0.001466704
LEF1,0.008553231,1.008589915,0.0012042,0.0012042
CYP2J2,0.008546158,1.008582781,0.001477845,0.001477845
PPM1K,0.008544954,1.008581566,0.001638868,0.001638868
CREB3L4,0.008527519,1.008563982,0.001385098,0.001385098
TIGIT,0.008522127,1.008558544,0.001347996,0.001347996
EFNA1,0.008484679,1.008520776,0.001146089,0.001146089
SLC1A4,0.008471464,1.008507449,0.001188487,0.001188487
KIF23,0.008449128,1.008484923,0.001288141,0.001288141
WFDC1,0.008416519,1.008452038,0.001502169,0.001502169
MAPK15,0.008408942,1.008444397,0.001160749,0.001160749
MMP1,0.008361944,1.008397002,0.001045913,0.001045913
AHR,0.008328998,1.008363781,0.001282738,0.001282738
IER5L,0.008323886,1.008358626,0.001116549,0.001116549
SPDEF,0.008319061,1.008353761,0.001596995,0.001596995
MYOZ1,0.008281207,1.008315591,0.00135026,0.00135026
CRLF1,0.008276459,1.008310804,0.001181082,0.001181082
STRA6,0.008256823,1.008291005,0.001550292,0.001550292
FCER1A,0.008243747,1.00827782,0.001600224,0.001600224
FOXL1,0.008240646,1.008274694,0.001306246,0.001306246
DACT3,0.008235364,1.008269368,0.001420589,0.001420589
SLC24A2,0.008221669,1.00825556,0.001210709,0.001210709
GAS1,0.008214165,1.008247994,0.001748182,0.001748182
SEMA5B,0.008200532,1.008234248,0.001318263,0.001318263
SPESP1,0.008169045,1.008202503,0.001544684,0.001544684
DNAJC22,0.008094897,1.008127749,0.001259119,0.001259119
KIF1A,0.00805939,1.008091954,0.000760878,0.000760878
XKR9,0.008050617,1.00808311,0.001353278,0.001353278
HAPLN1,0.008031119,1.008063454,0.000946593,0.000946593
TBX2,0.007982579,1.008014525,0.001579517,0.001579517
THBS1,0.007944443,1.007976084,0.001449013,0.001449013
ITGB3,0.007928711,1.007960226,0.001364831,0.001364831
ARNTL,0.007925464,1.007956954,0.001351459,0.001351459
GABRD,0.007915198,1.007946606,0.001515264,0.001515264
CTXN1,0.007899154,1.007930434,0.000925348,0.000925348
SERPINA1,0.007853646,1.007884567,0.00070416,0.00070416
FAM180A,0.007840502,1.007871319,0.001645251,0.001645251
PIM2,0.007826148,1.007856852,0.000925437,0.000925437
KCND3,0.007783496,1.007813867,0.001482867,0.001482867
LOXL1,0.00777918,1.007809517,0.001384424,0.001384424
BCL3,0.007778403,1.007808733,0.001073608,0.001073608
BRINP3,0.007773961,1.007804257,0.001436893,0.001436893
AJUBA,0.007770837,1.007801109,0.001326743,0.001326743
OSCAR,0.007768434,1.007798687,0.000843211,0.000843211
COL3A1,0.007756493,1.007786652,0.001227773,0.001227773
ADAM8,0.007733147,1.007763125,0.000973485,0.000973485
NLRP2,0.00772557,1.00775549,0.001342032,0.001342032
DUSP5,0.007712545,1.007742363,0.001347739,0.001347739
ADM2,0.007699254,1.00772897,0.000941136,0.000941136
COMTD1,0.007650833,1.007680176,0.001281535,0.001281535
FZD2,0.007645459,1.00767476,0.001175623,0.001175623
MMP14,0.007641971,1.007671245,0.001130709,0.001130709
SMAD6,0.007620304,1.007649412,0.00134135,0.00134135
MYB,0.007600573,1.007629531,0.001189869,0.001189869
SBSPON,0.00759342,1.007622323,0.001027533,0.001027533
EXOC3L2,0.007590461,1.007619341,0.001194305,0.001194305
OSM,0.007563967,1.007592646,0.000913887,0.000913887
ZNF503,0.007553279,1.007581877,0.001280862,0.001280862
GALNT14,0.0075191,1.007547439,0.001065788,0.001065788
DNAJC6,0.007502476,1.00753069,0.001181836,0.001181836
C1GALT1,0.007463921,1.007491845,0.001084419,0.001084419
COL8A1,0.007439742,1.007467486,0.001175211,0.001175211
CRISPLD2,0.007417435,1.007445012,0.001388656,0.001388656
CCL2,0.007401609,1.007429069,0.000943746,0.000943746
P4HA3,0.007397878,1.00742531,0.00090203,0.00090203
AGR2,0.007397067,1.007424493,0.001136609,0.001136609
MAGED2,0.007393925,1.007421328,0.001104476,0.001104476
IGSF21,0.007392109,1.007419498,0.001083674,0.001083674
CD86,0.007364249,1.007391431,0.000823794,0.000823794
SH2D4A,0.00735802,1.007385157,0.001219656,0.001219656
PTGIR,0.007336078,1.007363052,0.001305628,0.001305628
VWA2,0.007323501,1.007350384,0.00130424,0.00130424
FST,0.007321354,1.00734822,0.001391942,0.001391942
RTN4R,0.007320613,1.007347474,0.001059342,0.001059342
TOX3,0.007319053,1.007345903,0.001406161,0.001406161
GGH,0.007311585,1.00733838,0.001071152,0.001071152
PRRG4,0.007309772,1.007336553,0.001205088,0.001205088
ABHD17C,0.007307662,1.007334428,0.001212713,0.001212713
YDJC,0.007282767,1.007309351,0.001089694,0.001089694
ZNF579,0.007281534,1.007308108,0.001182017,0.001182017
SERTAD4,0.00725741,1.007283809,0.000933761,0.000933761
CD5,0.007249558,1.0072759,0.001235726,0.001235726
PSPH,0.007247102,1.007273426,0.001122823,0.001122823
EVI2A,0.007239228,1.007265495,0.000970779,0.000970779
GLIS2,0.007238603,1.007264865,0.001194305,0.001194305
SLC1A5,0.007233955,1.007260183,0.001227142,0.001227142
PGM2L1,0.007213426,1.007239506,0.00099648,0.00099648
SCUBE3,0.007212386,1.007238458,0.000948986,0.000948986
SMPD3,0.007179136,1.007204968,0.0012053,0.0012053
SERPINE1,0.007174487,1.007200285,0.001181741,0.001181741
ASCL2,0.00716768,1.00719343,0.000968827,0.000968827
PRRX2,0.007153072,1.007178716,0.001149104,0.001149104
PRSS22,0.007135049,1.007160564,0.001151693,0.001151693
SNAI1,0.007109561,1.007134894,0.000949111,0.000949111
JPH1,0.007095277,1.007120508,0.001108039,0.001108039
NPC2,0.00709065,1.007115848,0.001083206,0.001083206
SLC7A5,0.007089139,1.007114326,0.001024999,0.001024999
F2RL3,0.007088686,1.007113871,0.001148655,0.001148655
HSPA14,0.007081739,1.007106874,0.001041502,0.001041502
EPCAM,0.007068175,1.007093213,0.000995426,0.000995426
SELL,0.007063736,1.007088743,0.001056668,0.001056668
FCGR2B,0.007060527,1.007085511,0.000748988,0.000748988
PMEPA1,0.007051453,1.007076373,0.001160109,0.001160109
SGIP1,0.007047937,1.007072832,0.001121952,0.001121952
HRH1,0.007046704,1.00707159,0.001057941,0.001057941
OVOL2,0.007033558,1.007058352,0.001138825,0.001138825
NRARP,0.007002084,1.007026656,0.000877029,0.000877029
FAM171A2,0.006991446,1.007015943,0.001156977,0.001156977
DUSP23,0.006982141,1.007006573,0.000965845,0.000965845
TSPAN13,0.00696414,1.006988446,0.000912809,0.000912809
SCUBE1,0.00695404,1.006978276,0.001148945,0.001148945
SIX3,0.006943713,1.006967877,0.001104153,0.001104153
DDX39A,0.006939649,1.006963784,0.000932337,0.000932337
SCNN1A,0.006939293,1.006963426,0.001218985,0.001218985
ENC1,0.006925125,1.006949159,0.001077411,0.001077411
GNB4,0.006919761,1.006943758,0.001018756,0.001018756
CHAC1,0.006919655,1.006943651,0.000986789,0.000986789
SLC33A1,0.006906477,1.006930382,0.000942726,0.000942726
GPR176,0.006901366,1.006925236,0.001107078,0.001107078
AP1S3,0.006898283,1.006922131,0.000848419,0.000848419
SH3BP1,0.006894916,1.006918741,0.000926468,0.000926468
UNC5B,0.006874247,1.006897929,0.001082976,0.001082976
RAI14,0.00685158,1.006875106,0.000963486,0.000963486
UBE2QL1,0.006841823,1.006865282,0.001346939,0.001346939
GRTP1,0.006841425,1.006864881,0.001056079,0.001056079
DNM3,0.00682591,1.006849259,0.001162761,0.001162761
ANO5,0.006818525,1.006841824,0.000964978,0.000964978
COL1A2,0.00680861,1.006831841,0.001045327,0.001045327
SGK3,0.006799852,1.006823023,0.001018238,0.001018238
POLR2J,0.006783171,1.006806229,0.000913794,0.000913794
PILRA,0.006777975,1.006800997,0.000651251,0.000651251
PCDHB14,0.006766383,1.006789326,0.001155332,0.001155332
TMEM54,0.006763813,1.006786739,0.000864357,0.000864357
CDCA7,0.006759118,1.006782012,0.000959611,0.000959611
P4HA1,0.006747956,1.006770775,0.000920973,0.000920973
GRIN2D,0.006743699,1.006766488,0.000788374,0.000788374
SLC22A15,0.00673163,1.006754338,0.001013964,0.001013964
C3orf80,0.006710581,1.006733147,0.000954844,0.000954844
PSRC1,0.006692994,1.006715442,0.000809359,0.000809359
CNFN,0.006692211,1.006714654,0.001112277,0.001112277
PRICKLE1,0.006686937,1.006709345,0.001192868,0.001192868
NR2F6,0.006668178,1.00669046,0.001059308,0.001059308
TRIM59,0.006668043,1.006690324,0.000776002,0.000776002
DCDC2,0.006665606,1.006687871,0.001149681,0.001149681
SDS,0.006664918,1.006687178,0.000782328,0.000782328
ROBO2,0.006651169,1.006673337,0.001387384,0.001387384
ADAMTS7,0.006609252,1.006631141,0.00105409,0.00105409
CDCA3,0.006608466,1.00663035,0.000771903,0.000771903
KAZALD1,0.006603333,1.006625183,0.001220633,0.001220633
SLC39A4,0.006602201,1.006624044,0.000944375,0.000944375
FCGR1A,0.006583089,1.006604806,0.000325471,0.000325471
KLK11,0.006578649,1.006600336,0.001735982,0.001735982
GFPT1,0.006573979,1.006595635,0.000922182,0.000922182
FOSL1,0.00657019,1.006591821,0.000845211,0.000845211
IGFBPL1,0.00656204,1.006583617,0.000916096,0.000916096
FCGBP,0.006546907,1.006568385,0.001106199,0.001106199
GRIK5,0.006540336,1.006561771,0.001114147,0.001114147
TRIM36,0.006530938,1.006552311,0.000916942,0.000916942
CPOX,0.006510951,1.006532194,0.001094392,0.001094392
TROAP,0.006507637,1.006528858,0.000965286,0.000965286
SLC9A2,0.006503466,1.00652466,0.000918479,0.000918479
ATP2C2,0.006498155,1.006519313,0.000891294,0.000891294
NXPH4,0.006490897,1.006512008,0.001122095,0.001122095
CYTL1,0.006484113,1.006505181,0.000928096,0.000928096
ARHGAP9,0.006482855,1.006503914,0.000898475,0.000898475
SIX4,0.006482614,1.006503671,0.000875936,0.000875936
EPHB2,0.006467763,1.006488724,0.00087803,0.00087803
DHX34,0.006462362,1.006483289,0.001010543,0.001010543
SEC61G,0.006454464,1.006475339,0.00081204,0.00081204
FCGR3A,0.006450923,1.006471775,0.000332841,0.000332841
GZMK,0.006449087,1.006469927,0.001084321,0.001084321
CST6,0.006447437,1.006468266,0.001003824,0.001003824
SEMA3F,0.006430193,1.006450911,0.001030851,0.001030851
INHBB,0.006426572,1.006447267,0.001231258,0.001231258
SKIL,0.006417595,1.006438232,0.00091547,0.00091547
IRX3,0.006416991,1.006437624,0.001161397,0.001161397
MARVELD3,0.006414789,1.006435408,0.000850925,0.000850925
PSENEN,0.006414682,1.0064353,0.000819309,0.000819309
BIK,0.006414421,1.006435038,0.000934609,0.000934609
CH25H,0.006409111,1.006429693,0.001055232,0.001055232
TMPO,0.006408561,1.00642914,0.00088927,0.00088927
DKK2,0.006400933,1.006421463,0.001091662,0.001091662
HLA-DQA1,0.006380464,1.006400863,0.000635445,0.000635445
PKIB,0.006366402,1.006386711,0.000794861,0.000794861
SYDE2,0.006351536,1.006371749,0.001185837,0.001185837
XIRP1,0.006347228,1.006367415,0.00095469,0.00095469
CASP14,0.006327769,1.006347831,0.00088762,0.00088762
SOX18,0.006325589,1.006345638,0.001011061,0.001011061
PAFAH1B3,0.006295439,1.006315297,0.000784812,0.000784812
SALL4,0.006288607,1.006308422,0.000834919,0.000834919
SH2D2A,0.006282932,1.006302711,0.000804132,0.000804132
MSLN,0.00628198,1.006301753,0.000801596,0.000801596
SLC45A3,0.006276718,1.006296458,0.000944879,0.000944879
GLIPR1L2,0.006263387,1.006283043,0.001061356,0.001061356
KCNJ3,0.006256211,1.006275822,0.001454289,0.001454289
VSIG2,0.006248036,1.006267596,0.001019256,0.001019256
PKMYT1,0.006245863,1.006265409,0.000895057,0.000895057
NEK2,0.006242061,1.006261583,0.000805558,0.000805558
RYR1,0.006217638,1.006237008,0.001062216,0.001062216
BMP8A,0.006212252,1.006231588,0.000964009,0.000964009
DISP2,0.006195979,1.006215214,0.000808715,0.000808715
SPIRE2,0.006194153,1.006213377,0.000927153,0.000927153
ATG16L1,0.006192477,1.00621169,0.0009731,0.0009731
KDELR2,0.006169859,1.006188931,0.000821538,0.000821538
BTG3,0.00616897,1.006188037,0.000924213,0.000924213
EDARADD,0.006168112,1.006187174,0.001015645,0.001015645
TENM4,0.006143441,1.00616235,0.001053428,0.001053428
KHDRBS3,0.006138953,1.006157835,0.000931938,0.000931938
MSC,0.006133974,1.006152825,0.000844526,0.000844526
MELK,0.006124773,1.006143567,0.000855976,0.000855976
PIEZO2,0.006120917,1.006139688,0.001170495,0.001170495
CHST1,0.006116574,1.006135318,0.001419724,0.001419724
MZT1,0.006109055,1.006127753,0.000846323,0.000846323
PTPN7,0.006102309,1.006120966,0.000818624,0.000818624
PCDHB2,0.006100587,1.006119234,0.000757254,0.000757254
CTU1,0.006090276,1.006108859,0.001053925,0.001053925
MAPK8IP2,0.006083753,1.006102297,0.000831838,0.000831838
ENPP1,0.006080866,1.006099392,0.000984316,0.000984316
UBE2S,0.006073558,1.006092039,0.000755894,0.000755894
UBE2D1,0.00606763,1.006086076,0.000779862,0.000779862
CHPF,0.006052415,1.006070768,0.000891691,0.000891691
PLAU,0.006051475,1.006069823,0.000621256,0.000621256
CDKN3,0.006042682,1.006060976,0.000772561,0.000772561
EZH2,0.006029412,1.006047625,0.000740443,0.000740443
CNIH2,0.006028915,1.006047125,0.000771153,0.000771153
CFTR,0.006016067,1.006034199,0.000820076,0.000820076
S100A11,0.006012085,1.006030193,0.000652751,0.000652751
P2RY6,0.006011497,1.006029602,0.000675571,0.000675571
FEM1A,0.006008626,1.006026714,0.000890117,0.000890117
ANLN,0.0060083,1.006026386,0.000735707,0.000735707
KCNH2,0.005997563,1.006015584,0.000768706,0.000768706
TMEM130,0.005995652,1.006013662,0.000926398,0.000926398
LCAT,0.005993287,1.006011283,0.000935486,0.000935486
TUSC1,0.005992166,1.006010155,0.000904725,0.000904725
KCTD15,0.00597919,1.005997101,0.000790038,0.000790038
VNN1,0.005971681,1.005989547,0.000939405,0.000939405
SERPINA5,0.005968701,1.005986549,0.001426861,0.001426861
SLC26A7,0.005967709,1.005985551,0.001086839,0.001086839
MLLT11,0.005965598,1.005983427,0.000549942,0.000549942
ECT2,0.005965157,1.005982984,0.000813712,0.000813712
SLCO2A1,0.005955697,1.005973468,0.001230216,0.001230216
BLNK,0.005943252,1.005960948,0.000902554,0.000902554
NR2F1,0.005941551,1.005959237,0.000949957,0.000949957
FOXA1,0.005940576,1.005958256,0.001287209,0.001287209
GLIS3,0.005898378,1.005915807,0.000859309,0.000859309
ELFN1,0.005896976,1.005914398,0.000982409,0.000982409
SDHAF2,0.005892928,1.005910325,0.000901998,0.000901998
SAMD11,0.005891228,1.005908615,0.000802321,0.000802321
APBB2,0.005887397,1.005904762,0.00109404,0.00109404
SYT11,0.005887346,1.00590471,0.000984578,0.000984578
MTHFD2,0.00587622,1.005893518,0.000711273,0.000711273
IGSF6,0.005865141,1.005882374,0.000495747,0.000495747
CD300E,0.005864467,1.005881696,0.000599361,0.000599361
GPR84,0.00585179,1.005868946,0.000613332,0.000613332
TMEM51,0.005846422,1.005863545,0.000678051,0.000678051
CPLX1,0.005841835,1.005858931,0.001027036,0.001027036
RASAL3,0.005832319,1.00584936,0.00092356,0.00092356
CSF2RB,0.00582634,1.005843346,0.000725552,0.000725552
BAG2,0.005826307,1.005843312,0.000747158,0.000747158
SLC37A2,0.005824903,1.005841901,0.000884312,0.000884312
GPR4,0.005814444,1.00583138,0.000923823,0.000923823
MET,0.00581436,1.005831296,0.001031151,0.001031151
MS4A2,0.005813428,1.005830359,0.000892317,0.000892317
WNT5B,0.005809556,1.005826464,0.000934941,0.000934941
POPDC2,0.005807889,1.005824788,0.001082744,0.001082744
PTTG1,0.005799117,1.005815964,0.000706002,0.000706002
CD9,0.005795687,1.005812514,0.000918747,0.000918747
ITGA4,0.005793852,1.005810669,0.000861202,0.000861202
CCL19,0.005785002,1.005801767,0.00084958,0.00084958
PRRX1,0.005784927,1.005801692,0.000877664,0.000877664
NAAA,0.005781053,1.005797795,0.001096088,0.001096088
FCER1G,0.005779077,1.005795808,0.000428928,0.000428928
CDH2,0.005764056,1.0057807,0.000735225,0.000735225
SIRPB1,0.005747864,1.005764415,0.000724771,0.000724771
SIM2,0.005738128,1.005754623,0.001030937,0.001030937
ZFAND2A,0.005723111,1.00573952,0.000904493,0.000904493
TMEM14A,0.005707192,1.005723509,0.000785841,0.000785841
FLCN,0.005707014,1.00572333,0.000930166,0.000930166
PLCL1,0.005703826,1.005720124,0.001146613,0.001146613
SPIN4,0.005699905,1.005716181,0.000780511,0.000780511
BPIFB1,0.005691597,1.005707825,0.000928602,0.000928602
MSR1,0.005690437,1.005706658,0.000275945,0.000275945
TMEM255B,0.005685626,1.00570182,0.000924301,0.000924301
SLC39A6,0.00568049,1.005696655,0.000888803,0.000888803
NUDT11,0.005672215,1.005688333,0.000830802,0.000830802
GPR85,0.0056721,1.005688217,0.000583112,0.000583112
P2RY10,0.005670669,1.005686778,0.000945349,0.000945349
GJB2,0.005667709,1.005683801,0.000721785,0.000721785
SULT4A1,0.005660306,1.005676356,0.00079307,0.00079307
HOXB3,0.005658417,1.005674457,0.001061413,0.001061413
EEF1E1,0.005650687,1.005666683,0.000714793,0.000714793
VOPP1,0.00564768,1.005663658,0.000733322,0.000733322
CAMSAP3,0.005645282,1.005661247,0.000844376,0.000844376
PTS,0.005641816,1.005657761,0.000712793,0.000712793
HSD11B2,0.005639798,1.005655731,0.001020698,0.001020698
IGSF9,0.005637163,1.005653081,0.000702347,0.000702347
CDK2AP2,0.005628674,1.005644545,0.000805454,0.000805454
CD37,0.005618971,1.005634787,0.000973687,0.000973687
TWSG1,0.005610606,1.005626375,0.000794596,0.000794596
SULT2B1,0.005596705,1.005612396,0.000923539,0.000923539
GORAB,0.005594308,1.005609985,0.000759482,0.000759482
C1QTNF6,0.005588875,1.005604522,0.000613273,0.000613273
NVL,0.005572097,1.00558765,0.00077149,0.00077149
GPSM2,0.005569741,1.005585281,0.000726831,0.000726831
